fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	50	Popularity	1.0	0.0	0.0	0.0
1	50	Normalized kNN (test)	1.0	0.0	0.0	0.0
1	50	Average Rating	1.0	0.0	0.0	0.0
1	50	Normalized kNN (full)	1.0	0.0	0.0	0.0
1	50	kNN (full/test)	1.0	0.0	0.0	0.0
1	50	iMF (test)	1.0	0.0	0.0	0.0
2	50	Random	1.0	0.0	0.0	0.0
2	50	iMF (full)	1.0	0.0	0.0	0.0
2	50	Popularity	1.0	0.0	0.0	0.0
2	50	Normalized kNN (test)	1.0	0.0	0.0	0.0
2	50	Average Rating	1.0	0.0	0.0	0.0
2	50	Normalized kNN (full)	1.0	0.0	0.0	0.0
2	50	kNN (full/test)	1.0	0.0	0.0	0.0
2	50	iMF (test)	1.0	0.0	0.0	0.0
3	50	Random	1.0	0.0	0.0	0.0
3	50	iMF (full)	1.0	0.0	0.0	0.0
3	50	Popularity	1.0	0.0	0.0	0.0
3	50	Normalized kNN (test)	1.0	0.0	0.0	0.0
3	50	Average Rating	1.0	0.0	0.0	0.0
3	50	Normalized kNN (full)	1.0	0.0	0.0	0.0
3	50	kNN (full/test)	1.0	0.0	0.0	0.0
3	50	iMF (test)	1.0	0.0	0.0	0.0
4	50	Random	1.0	0.0	0.0	0.0
4	50	iMF (full)	1.0	0.0	0.0	0.0
4	50	Popularity	1.0	0.0	0.0	0.0
4	50	Normalized kNN (test)	1.0	0.0	0.0	0.0
4	50	Average Rating	1.0	0.0	0.0	0.0
4	50	Normalized kNN (full)	1.0	0.0	0.0	0.0
4	50	kNN (full/test)	1.0	0.0	0.0	0.0
4	50	iMF (test)	1.0	0.0	0.0	0.0
5	50	Random	1.0	0.0	0.0	0.0
5	50	iMF (full)	1.0	0.0	0.0	0.0
5	50	Popularity	1.0	0.0	0.0	0.0
5	50	Normalized kNN (test)	1.0	0.0	0.0	0.0
5	50	Average Rating	1.0	0.0	0.0	0.0
5	50	Normalized kNN (full)	1.0	0.0	0.0	0.0
5	50	kNN (full/test)	1.0	0.0	0.0	0.0
5	50	iMF (test)	1.0	0.0	0.0	0.0
1	100	Random	1.0	0.0	0.0	0.0
1	100	iMF (full)	1.0	0.0	0.0	0.0
1	100	Popularity	1.0	0.0	0.0	0.0
1	100	Normalized kNN (test)	1.0	0.0	0.0	0.0
1	100	Average Rating	1.0	0.0	0.0	0.0
1	100	Normalized kNN (full)	1.0	0.0	0.0	0.0
1	100	kNN (full/test)	1.0	0.0	0.0	0.0
1	100	iMF (test)	1.0	0.0	0.0	0.0
2	100	Random	1.0	0.0	0.0	0.0
2	100	iMF (full)	1.0	0.0	0.0	0.0
2	100	Popularity	1.0	0.0	0.0	0.0
2	100	Normalized kNN (test)	1.0	0.0	0.0	0.0
2	100	Average Rating	1.0	0.0	0.0	0.0
2	100	Normalized kNN (full)	1.0	0.0	0.0	0.0
2	100	kNN (full/test)	1.0	0.0	0.0	0.0
2	100	iMF (test)	1.0	0.0	0.0	0.0
3	100	Random	1.0	0.0	0.0	0.0
3	100	iMF (full)	1.0	0.0	0.0	0.0
3	100	Popularity	1.0	0.0	0.0	0.0
3	100	Normalized kNN (test)	1.0	0.0	0.0	0.0
3	100	Average Rating	1.0	0.0	0.0	0.0
3	100	Normalized kNN (full)	1.0	0.0	0.0	0.0
3	100	kNN (full/test)	1.0	0.0	0.0	0.0
3	100	iMF (test)	1.0	0.0	0.0	0.0
4	100	Random	1.0	0.0	0.0	0.0
4	100	iMF (full)	1.0	0.0	0.0	0.0
