target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
10	Normalized kNN (test)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Normalized kNN (test)	Popularity	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Normalized kNN (test)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Normalized kNN (test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Normalized kNN (test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	iMF (test)	Random	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	iMF (test)	Normalized kNN (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	iMF (test)	Normalized kNN (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	iMF (test)	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	iMF (test)	iMF (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	kNN (full/test)	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	kNN (full/test)	Random	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	kNN (full/test)	iMF (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	kNN (full/test)	Normalized kNN (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	kNN (full/test)	Popularity	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	kNN (full/test)	Normalized kNN (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
10	kNN (full/test)	Popularity	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	kNN (full/test)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	kNN (full/test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	kNN (full/test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Popularity	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Popularity	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Popularity	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Popularity	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Popularity	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Popularity	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Popularity	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Popularity	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (test)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (test)	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
100	iMF (test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Random	Normalized kNN (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	Random	Normalized kNN (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	Random	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
500	Random	iMF (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
1	iMF (full)	Normalized kNN (test)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (full)	Normalized kNN (full)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (full)	kNN (full/test)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (full)	Random	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (full)	Popularity	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (full)	Average Rating	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (test)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (test)	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (test)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (test)	Normalized kNN (full)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (test)	kNN (full/test)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (test)	Random	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (test)	Popularity	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	Normalized kNN (test)	Average Rating	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	iMF (test)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
