target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
1	iMF (test)	iMF (full)	NaN	0.22645257835589716	0.7054652861517304	0.8097579400916692
1	iMF (test)	Normalized kNN (test)	NaN	0.07454605668281285	0.15730350179166896	0.20500604514635656
1	iMF (test)	Normalized kNN (full)	NaN	0.06821350796615383	0.08326451639882862	0.1413449714356747
1	iMF (test)	kNN (full/test)	NaN	0.10183709584453682	0.08326451639882862	0.1413449714356747
1	iMF (test)	Random	NaN	0.021118690461450672	0.01670032914284096	0.05697437023985593
1	iMF (test)	Popularity	NaN	0.4909383129325833	0.23932439357491564	0.29618456113165414
1	iMF (test)	Average Rating	NaN	0.17794753902014937	0.7054652861517304	0.8874012415345068
10	iMF (full)	Normalized kNN (test)	NaN	0.8954037182838563	0.2568476950168205	0.2547584711328361
10	iMF (full)	kNN (full/test)	NaN	0.3429341942084837	0.2568476950168205	0.4153376421286844
10	iMF (full)	Popularity	NaN	0.10141961544862965	0.15730350179166896	0.14592722676668213
10	iMF (full)	iMF (test)	NaN	0.2113921368442998	1.0	0.750529938978979
10	iMF (full)	Normalized kNN (full)	NaN	0.13762757378166623	0.17971789835638685	0.2849753533860965
10	iMF (full)	Random	NaN	0.008139802074234632	0.007523745217959819	0.15179612483603044
100	iMF (full)	iMF (test)	NaN	0.5489621432562678	0.6170850943971997	0.31856775443164054
100	iMF (full)	Normalized kNN (full)	NaN	0.8768153815673922	0.7815177349449043	0.3533559073343787
100	iMF (full)	kNN (full/test)	NaN	0.4224525417936432	0.28505866286314285	0.39314406469075447
100	iMF (full)	Average Rating	NaN	0.13036299627730352	0.09467142594388755	0.26338019089430664
100	iMF (full)	Random	NaN	0.019105968999960126	0.011724316279714568	0.03422886701996889
20	iMF (full)	iMF (test)	NaN	0.28564002120903287	0.6373615611032886	0.33206821313943713
20	iMF (full)	kNN (full/test)	NaN	0.8762012855031458	0.7388902000511419	0.4036053430368104
20	iMF (full)	Average Rating	NaN	0.13329890863252225	0.15730350179166896	0.30084773340391
20	iMF (full)	Normalized kNN (full)	NaN	0.6900371765794295	1.0	0.3699954760579347
2000	Popularity	Random	NaN	0.008960203940913512	0.010123728864551432	0.02227957605622458
2000	Popularity	kNN (full/test)	NaN	0.7592188795559893	0.8618086363614205	0.5737025475780768
2000	Popularity	Average Rating	NaN	0.010220947455512634	0.011994811884649922	0.021104098728760696
2000	Popularity	iMF (full)	NaN	0.9017781246657008	0.8574667716553676	0.7603399068601939
2000	Popularity	Normalized kNN (full)	NaN	0.03719663585007356	0.05429007340076522	0.05437674956847867
2	Random	Average Rating	NaN	0.013876902652529027	0.02364855505950617	0.8975495175664581
2	Random	Popularity	NaN	0.07041917463137329	0.10599894691623701	0.5911268088343092
2	Random	kNN (full/test)	NaN	0.017179245877491055	0.02904608570247928	0.961319860954491
2	Random	iMF (test)	NaN	0.02672517758716364	0.024337869932859184	0.06916880993261992
2	Random	Normalized kNN (test)	NaN	0.013276257824646873	0.02013365712561565	0.056970719190746574
2	Random	Normalized kNN (full)	NaN	0.014840472983799438	0.02904608570247928	0.961319860954491
0	Random	iMF (test)	NaN	0.02573046548140611	0.02177837799341623	0.07620573496120898
0	Random	Popularity	NaN	0.08216885409443547	0.09609312310327545	0.09739554885746549
0	Random	Average Rating	NaN	0.020144232336354522	0.026160115751664836	0.06718465489512351
0	Random	iMF (full)	NaN	0.015620052037217766	0.01682433297744842	0.059891574205387495
0	Random	Normalized kNN (test)	NaN	0.017255428999170652	0.02177837799341623	0.07620573496120898
0	Random	kNN (full/test)	NaN	0.015888444967678092	0.019627562139659174	0.07266278365411186
10	Normalized kNN (test)	kNN (full/test)	NaN	0.21520855510851666	1.0	0.32625594901877975
10	Normalized kNN (test)	Popularity	NaN	0.1445212733763357	0.08326451639882862	0.1625700889930597
10	Normalized kNN (test)	iMF (test)	NaN	0.06414935787852134	0.08326451639882862	0.27580756063582945
10	Normalized kNN (test)	Normalized kNN (full)	NaN	0.2740115624896242	1.0	0.4121928838012612
10	Normalized kNN (test)	Random	NaN	0.007649713856825486	0.007909175680598242	0.17921361770809163
500	iMF (test)	Random	NaN	0.041937923222691645	0.03334274339498157	0.10007294948651224
500	iMF (test)	Normalized kNN (full)	NaN	0.7801987765107272	0.8185512452154793	0.709011030591398
500	iMF (test)	Normalized kNN (test)	NaN	0.10592448809857302	0.05792612474448657	0.10155665226408628
500	iMF (test)	Average Rating	NaN	0.06923019658214201	0.04311209086521226	0.07972813678207132
500	iMF (test)	iMF (full)	NaN	0.06911429048672121	0.10599894691623701	0.08268209820045429
3706	kNN (full/test)	Average Rating	NaN	0.019549798824385782	0.019627562139659174	0.03708532571229128
3706	kNN (full/test)	Random	NaN	0.019215831347339993	0.01782924606985517	0.05466811763912545
3706	kNN (full/test)	iMF (test)	NaN	0.15232481277794574	0.13332993052548836	0.30853451537407184
3706	kNN (full/test)	Normalized kNN (test)	NaN	0.01626877855147538	0.013900456865383623	0.046462871637083396
3706	kNN (full/test)	Popularity	NaN	0.5904089846745494	0.8574667716553676	0.7766066326702328
3706	kNN (full/test)	Normalized kNN (full)	NaN	0.018905692155134532	0.024445897132197945	0.08262090877889194
10	kNN (full/test)	Popularity	NaN	0.06087512178662792	0.07185993217655268	0.15840594202514413
10	kNN (full/test)	iMF (test)	NaN	0.09435084775183744	0.08326451639882862	0.1413449714356747
10	kNN (full/test)	Normalized kNN (full)	NaN	0.4886210761001266	1.0	0.3749940411760434
10	kNN (full/test)	Random	NaN	0.00732936828526478	0.0071011171585717925	0.13279454164750426
10	Popularity	iMF (test)	NaN	0.664886045612946	0.23932439357491564	0.29618456113165414
10	Popularity	Normalized kNN (full)	NaN	0.03818665697932011	0.049532593122328356	0.17783947072930684
10	Popularity	Random	NaN	0.011990711102320126	0.013325342485017875	0.19745975931025983
